南苑新芝宾馆芝苑餐厅    	-	8.0	8.8	8.5	宁波永丰西路215号(南苑新芝宾馆内)	 	 	http://www.dianping.com/shop/17955534
华侨豪生大酒店中餐厅    	213元	8.2	8.9	8.6	宁波柳汀街230号华侨豪生大酒店(近月湖)	 	 	http://www.dianping.com/shop/4127737
三当家    	52元	8.1	8.2	7.7	宁波府桥街58号	 	 	http://www.dianping.com/shop/19281267
浙海大酒店餐厅    	-	8.2	8.5	8.5	宁波联丰中路88号浙海大酒店内(近联丰立交桥)	 	 	http://www.dianping.com/shop/8004144
原味餐厅    	-	7.9	7.8	8.0	宁波南塘老街南郊路166号	 	 	http://www.dianping.com/shop/21118718
蟹满香(城隍庙店)    	57元	8.0	7.4	7.5	宁波城隍庙大来街17号1-8	 	 	http://www.dianping.com/shop/3561364
乡村酒店(天一店)    	54元	8.3	7.7	8.0	宁波华楼街70号(近开明街)	 	 	http://www.dianping.com/shop/3026569
海俱大酒店中餐厅    	-	8.1	8.2	8.2	宁波马园路218号海俱大酒店内	 	 	http://www.dianping.com/shop/9039851
千岛湖鱼头馆    	78元	8.2	8.4	8.5	宁波南塘老街A区	 	 	http://www.dianping.com/shop/21303938
老纪厨房    	-	8.1	8.1	8.1	宁波丽园北路866号恒茂商业广场内21号	 	 	http://www.dianping.com/shop/18136842
贴阁碧(高鑫广场店)    	-	7.2	7.2	7.2	宁波新星路111号高鑫广场3楼309室	 	 	http://www.dianping.com/shop/21276765
天一人家    	-	8.0	7.9	8.0	宁波中山西路988弄235号(环城西路北段天一家园东大门)	 	 	http://www.dianping.com/shop/9218214
好兄弟郭巨海鲜(西河总店)    	72元	8.2	7.7	7.8	宁波西河街95-97号(海曙公园 锦江之星旁边 )	 	 	http://www.dianping.com/shop/2314276
五丰堂    	31元	7.3	7.4	7.5	宁波南塘老街南郊路27-1号	 	 	http://www.dianping.com/shop/5589684
城市桃花    	51元	7.7	7.7	7.6	宁波南塘老街南郊路206-196号	 	 	http://www.dianping.com/shop/5588512
军基厨·饭普军校(鼓楼店)    	20元	8.1	8.1	8.1	宁波鼓楼步行街公园路77弄1号（原神采飞扬南门）(原神采飞扬南门)	 	 	http://www.dianping.com/shop/19375245
疯炸机台湾鸡排(鼓楼店)    	15元	8.0	7.9	8.5	宁波呼童街84号(新时代美食广场外右侧出口)	 	 	http://www.dianping.com/shop/18532797
翡翠轩中餐厅    	212元	7.3	7.4	7.1	宁波和义路188号宁波万豪酒店3楼	 	 	http://www.dianping.com/shop/2552308
江南美景大酒店(月湖店)    	123元	7.9	8.0	7.8	宁波解放南路101号	 	 	http://www.dianping.com/shop/5149792
煲煲饭    	19元	7.5	7.4	7.7	宁波药行街169号莱迪时尚广场2楼餐饮美食城(COCO奶茶斜对面)	 	 	http://www.dianping.com/shop/9648257
三市里胡同餐厅    	68元	8.2	8.9	8.3	宁波南塘老街南郊路278号	 	 	http://www.dianping.com/shop/5589618
衢州农家菜    	49元	7.9	7.7	7.8	宁波环城西路北段299号(近枫华丽致酒店，近市检察院)	 	 	http://www.dianping.com/shop/19299842
小岛人家    	-	8.0	8.1	8.2	宁波府桥街38弄32号	 	 	http://www.dianping.com/shop/19352573
叶叶食府    	-	8.1	7.9	8.1	宁波中山西路566号转文化路6号	 	 	http://www.dianping.com/shop/13660786
东唐小镇(联丰店)    	-	7.6	7.5	7.5	宁波高桥镇迎春路57号	 	 	http://www.dianping.com/shop/18260355
侬家大院    	46元	7.9	7.5	7.7	宁波气象路(农工商超市后面)	 	 	http://www.dianping.com/shop/10007677
魔石咕噜鱼    	63元	7.7	7.4	7.7	宁波东渡路30号2楼（太平鸟女装大楼右边）	 	 	http://www.dianping.com/shop/19645278
格威咖啡(灵桥路店)    	65元	8.0	8.6	8.0	宁波灵桥路768号(近宁波音乐厅)	 	 	http://www.dianping.com/shop/5134304
浙一家格纳多餐厅(盛园店)    	86元	8.1	8.3	8.2	宁波镇明路盛园巷64号月湖盛园内	 	 	http://www.dianping.com/shop/4689360
银苑饭店    	77元	8.2	8.0	8.1	宁波中宪巷21号(文昌街口)	 	 	http://www.dianping.com/shop/4542122
乡村酒店(马园路店)    	55元	7.9	7.9	7.8	宁波马园路268号-1(亚洲花园宾馆对面)	 	 	http://www.dianping.com/shop/3548047
嘉和大酒店中餐厅    	-	6.8	6.8	6.8	宁波新典路108号(电视中心旁)	 	 	http://www.dianping.com/shop/19396867
春晓食府酒店    	150元	7.8	6.8	7.1	宁波南塘老街船埠巷90号(南塘老街)	 	 	http://www.dianping.com/shop/2223958
世纪盛业中苑大酒店    	-	7.1	7.0	7.1	宁波段塘东路135号世纪盛业中苑大酒店内	 	 	http://www.dianping.com/shop/8698512
艾尚餐厅(天一店)    	29元	7.6	7.7	7.6	宁波东渡路29号颐高世贸中心大厦1楼(老银泰时代影院对面)	 	 	http://www.dianping.com/shop/6446860
姐妹饭店    	-	7.5	6.9	7.2	宁波环城西路南段393号(金都嘉园西南)	 	 	http://www.dianping.com/shop/9242246
家和木水果连锁超市(天一和义大道店)    	-	8.8	8.6	8.7	宁波天一广场和义大道县前街16号	 	 	http://www.dianping.com/shop/10341533
海鲜超市    	-	6.6	7.2	6.8	宁波镇明路238号(月湖盛园旁)	 	 	http://www.dianping.com/shop/19206292
天马游船水上餐厅    	-	6.9	7.1	6.7	宁波舟宿夜江餐饮街(长丰)	 	 	http://www.dianping.com/shop/17995959
雍盛阁    	175元	7.1	7.3	7.2	宁波盛园巷67号(近月湖盛园)	 	 	http://www.dianping.com/shop/4229338
永耀大酒店中餐厅    	-	7.5	7.7	7.7	宁波开明街341号	 	 	http://www.dianping.com/shop/20699297
亚洲华园宾馆中餐厅    	-	6.9	7.2	7.3	宁波马园路271号2-3楼(柳汀街口)	 	 	http://www.dianping.com/shop/3126634
山水人家(海曙776店)    	50元	7.0	7.2	6.8	宁波环城西路南段776号(太平鸟集团旁)	 	 	http://www.dianping.com/shop/2612194
江枫渔家    	-	7.8	7.8	7.9	宁波启运路291号启运1号广场(近宁波外事学校)	 	 	http://www.dianping.com/shop/6146449
小鱼驿站衢州餐厅    	52元	8.0	7.6	7.7	宁波狮子街172号(近天一广场)	 	 	http://www.dianping.com/shop/8950604
鼓楼新时代美食小吃广场    	29元	7.6	7.6	7.7	宁波公园路77号(近建设银行)	 	 	http://www.dianping.com/shop/8710829
阿英饭店    	54元	7.3	6.8	7.0	宁波沁园街	 	 	http://www.dianping.com/shop/4226131
海味人家    	-	7.6	7.6	7.7	宁波海曙区环城北路西段766号翠柏路交叉口(莱茵堡宾馆对面)	 	 	http://www.dianping.com/shop/20730084
云海宾馆    	74元	7.2	7.2	7.1	宁波长春路2号(海曙商业区镇明路口)	 	 	http://www.dianping.com/shop/542264
春鹤饭店    	65元	7.0	5.5	6.1	宁波孝闻街100号(近西河街)	 	 	http://www.dianping.com/shop/542333
奇迹骨头饭    	-	8.6	8.5	8.6	宁波新芝路77号	 	 	http://www.dianping.com/shop/18254885
