id,NAME,REC_DATE2,avg_score,avg_tas,avg_env,avg_ser,LAT,LNG,LAT84,LNG84,ADDR
115,米道好广式肠粉(恒茂广场店),2015,4,2,2.666666666666667,2.666666666666667,29.890005,121.522006,29.8925055728605,121.517748289278,宁波市丽园北路866号恒茂商业广场内44号天胜花鸟市场对面
117,宜宾燃面(灵桥路店),2012,4,4,2,2,29.858808,121.549266,29.86138110546683,121.5450959339224,宁波市灵桥路124号(蚝翅旁)
117,宜宾燃面(灵桥路店),2014,4.111111111111111,3,3,3.111111111111111,29.858808,121.549266,29.86138110546683,121.5450959339224,宁波市灵桥路124号(蚝翅旁)
117,宜宾燃面(灵桥路店),2015,5,4,4,4,29.858808,121.549266,29.86138110546683,121.5450959339224,宁波市灵桥路124号(蚝翅旁)
118,七欣天波格力蟹(宁波六店),2015,4,3,3,3,29.861141,121.574356,29.86375763186478,121.5702401883202,宁波市百丈东路8号
119,卤泰卤味鸡爪(城隍庙店),2013,4.272727272727272,3.181818181818182,2.909090909090909,2.96969696969697,29.865748,121.550539,29.86832344666756,121.5463717880199,宁波市城隍庙大沙泥街236号(城隍庙商业步行街旁)
119,卤泰卤味鸡爪(城隍庙店),2014,4.08,3.15,2.94,3,29.865748,121.550539,29.86832344666756,121.5463717880199,宁波市城隍庙大沙泥街236号(城隍庙商业步行街旁)
119,卤泰卤味鸡爪(城隍庙店),2015,4.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857,29.865748,121.550539,29.86832344666756,121.5463717880199,宁波市城隍庙大沙泥街236号(城隍庙商业步行街旁)
120,宁波饭店中餐厅,2011,3,2,1,1,29.869374,121.536956,29.87191680937305,121.5327492112838,宁波市马园路251号
120,宁波饭店中餐厅,2012,4,2,2,2,29.869374,121.536956,29.87191680937305,121.5327492112838,宁波市马园路251号
120,宁波饭店中餐厅,2013,3.75,2.5,2.5,2.5,29.869374,121.536956,29.87191680937305,121.5327492112838,宁波市马园路251号
120,宁波饭店中餐厅,2014,2.666666666666667,1.333333333333333,2,2.333333333333333,29.869374,121.536956,29.87191680937305,121.5327492112838,宁波市马园路251号
120,宁波饭店中餐厅,2015,4.5,4,3.5,3.5,29.869374,121.536956,29.87191680937305,121.5327492112838,宁波市马园路251号
121,潮头阁,2009,3,2,1,1,29.898562,121.543887,29.90112052341739,121.5396987095517,宁波市环城北路西段498号(花园宾馆对面)
121,潮头阁,2010,4,2,1,1,29.898562,121.543887,29.90112052341739,121.5396987095517,宁波市环城北路西段498号(花园宾馆对面)
121,潮头阁,2012,3.5,2.5,2.5,2,29.898562,121.543887,29.90112052341739,121.5396987095517,宁波市环城北路西段498号(花园宾馆对面)
121,潮头阁,2013,3,2,2,2,29.898562,121.543887,29.90112052341739,121.5396987095517,宁波市环城北路西段498号(花园宾馆对面)
122,新状元楼(农贸店),2014,4,2,2,2,29.908444,121.637429,29.9110494155222,121.6333129344323,宁波市风华路818号宁波大学农贸店(近小兔子)
123,雨花石郭巨海鲜(繁景店),2009,3,1,0,1,29.891282,121.533133,29.89381356279698,121.5289123588081,宁波市育才路285-287号繁景花园东大门
123,雨花石郭巨海鲜(繁景店),2011,3.5,1.5,1,1.5,29.891282,121.533133,29.89381356279698,121.5289123588081,宁波市育才路285-287号繁景花园东大门
123,雨花石郭巨海鲜(繁景店),2012,3.5,2,1.5,2,29.891282,121.533133,29.89381356279698,121.5289123588081,宁波市育才路285-287号繁景花园东大门
123,雨花石郭巨海鲜(繁景店),2013,4,2,1,1,29.891282,121.533133,29.89381356279698,121.5289123588081,宁波市育才路285-287号繁景花园东大门
123,雨花石郭巨海鲜(繁景店),2014,4,3.666666666666667,2.333333333333333,3,29.891282,121.533133,29.89381356279698,121.5289123588081,宁波市育才路285-287号繁景花园东大门
124,牛家村,2008,3,2,2,2,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
124,牛家村,2010,4,2,2,1,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
124,牛家村,2011,3.333333333333333,1.666666666666667,1.666666666666667,1,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
124,牛家村,2012,3.8,3.2,2.2,2,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
124,牛家村,2013,3,3.333333333333333,2.333333333333333,1.666666666666667,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
124,牛家村,2014,3.25,2.5,1.75,1.75,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
124,牛家村,2015,4,3,3,3,29.977836,121.449568,29.98013792093307,121.4450711599114,宁波市慈城镇中华路(近慈城县衙)
126,锦庭,2013,4,2,3,4,29.855688,121.541622,29.85824345230354,121.5374304937872,宁波市南塘老街船埠巷68号
126,锦庭,2015,3,2,2,2,29.855688,121.541622,29.85824345230354,121.5374304937872,宁波市南塘老街船埠巷68号
127,老外婆,2015,4,3,3,3,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市舜山西路1号
128,阿拉宁波年糕干,2014,4,2.5,2.5,2.5,29.854931,121.540168,29.85748290568169,121.5359722050601,宁波市海曙区南塘老街
129,保国寺桂苑餐厅,2014,3,2,2,1,29.97988,121.520263,29.98237282628943,121.5159919972884,宁波市洪塘保国寺风景区售票处右侧
129,保国寺桂苑餐厅,2015,4,3,3,3,29.97988,121.520263,29.98237282628943,121.5159919972884,宁波市洪塘保国寺风景区售票处右侧
131,70年代家常菜,2014,4,3,3,3,29.865016,121.556527,29.86760385534867,121.5523750133668,宁波市狮子街140号
131,70年代家常菜,2015,4,3,3,3,29.865016,121.556527,29.86760385534867,121.5523750133668,宁波市狮子街140号
132,山味馆,2012,3.5,2.5,2.5,2.416666666666667,29.856105,121.541735,29.85866070075351,121.5375437956708,宁波市南塘老街南郊路245号
132,山味馆,2014,3,2,3,1,29.856105,121.541735,29.85866070075351,121.5375437956708,宁波市南塘老街南郊路245号
133,豪润阁,2014,4,3,2.9375,2.875,29.88948,121.518317,29.89196984892638,121.5140465135766,宁波市丽园北路银润豪景商务广场5号(珈禾整形医院后面)
134,老地方烧烤,2014,5,4,3,4,29.865266,121.556663,29.86785410517203,121.5525113209633,宁波市狮子街150号
